Total Directions = 440
 1.2060334303669359e-01 -9.2986393895532460e-01  3.4757429231584713e-01  5.2282725077557490e-02
 1.2060334303669359e-01 -9.8534748555864660e-01  1.2060334303669361e-01  5.8152527878245583e-02
 3.4757429231584724e-01 -1.2060334303669359e-01  9.2986393895532460e-01  5.2282725077557490e-02
 3.4757429231584724e-01 -3.4757429231584724e-01  8.7085258376046393e-01  4.9955888858720127e-02
 3.4757429231584724e-01 -4.7651926614366569e-01  8.0754040166114305e-01  1.0767689461688721e-02
 3.4757429231584724e-01 -5.7735026918962573e-01  7.3882256191037143e-01  4.8397095900659624e-02
 3.4757429231584724e-01 -6.6302040365328807e-01  6.6302040365328796e-01 -2.1910208032631609e-04
 3.4757429231584724e-01 -7.3882256191037143e-01  5.7735026918962584e-01  4.8397095900659624e-02
 3.4757429231584724e-01 -8.0754040166114305e-01  4.7651926614366569e-01  1.0767689461688721e-02
 3.4757429231584724e-01 -8.7085258376046393e-01  3.4757429231584741e-01  4.9955888858720127e-02
 3.4757429231584724e-01 -9.2986393895532460e-01  1.2060334303669315e-01  5.2282725077557490e-02
 4.7651926614366569e-01 -1.2060334303669359e-01  8.7085258376046393e-01  1.7551915729782732e-02
 4.7651926614366569e-01 -3.4757429231584724e-01  8.0754040166114305e-01  1.0767689461688721e-02
 4.7651926614366569e-01 -4.7651926614366569e-01  7.3882256191037143e-01  8.5557378355550547e-03
 4.7651926614366569e-01 -5.7735026918962573e-01  6.6302040365328796e-01  7.4544447602919953e-03
 4.7651926614366569e-01 -6.6302040365328807e-01  5.7735026918962573e-01  7.4544447602919953e-03
 4.7651926614366569e-01 -7.3882256191037143e-01  4.7651926614366569e-01  8.5557378355550547e-03
 4.7651926614366569e-01 -8.0754040166114305e-01  3.4757429231584730e-01  1.0767689461688721e-02
 4.7651926614366569e-01 -8.7085258376046393e-01  1.2060334303669407e-01  1.7551915729782732e-02
 5.7735026918962573e-01 -1.2060334303669359e-01  8.0754040166114316e-01  3.8512388022060196e-02
 5.7735026918962573e-01 -3.4757429231584724e-01  7.3882256191037143e-01  4.8397095900659624e-02
 5.7735026918962573e-01 -4.7651926614366569e-01  6.6302040365328807e-01  7.4544447602919953e-03
 5.7735026918962573e-01 -5.7735026918962573e-01  5.7735026918962584e-01  4.3557952964262181e-02
 5.7735026918962573e-01 -6.6302040365328807e-01  4.7651926614366569e-01  7.4544447602919953e-03
 5.7735026918962573e-01 -7.3882256191037143e-01  3.4757429231584741e-01  4.8397095900659624e-02
 5.7735026918962573e-01 -8.0754040166114305e-01  1.2060334303669407e-01  3.8512388022060196e-02
 6.6302040365328807e-01 -1.2060334303669359e-01  7.3882256191037143e-01  2.1350943773634428e-02
 6.6302040365328807e-01 -3.4757429231584724e-01  6.6302040365328796e-01 -2.1910208032631609e-04
 6.6302040365328807e-01 -4.7651926614366569e-01  5.7735026918962573e-01  7.4544447602919953e-03
 6.6302040365328807e-01 -5.7735026918962573e-01  4.7651926614366563e-01  7.4544447602919953e-03
 6.6302040365328807e-01 -6.6302040365328807e-01  3.4757429231584713e-01 -2.1910208032631609e-04
 6.6302040365328807e-01 -7.3882256191037143e-01  1.2060334303669361e-01  2.1350943773634428e-02
 7.3882256191037143e-01 -1.2060334303669359e-01  6.6302040365328807e-01  2.1350943773634428e-02
 7.3882256191037143e-01 -3.4757429231584724e-01  5.7735026918962584e-01  4.8397095900659624e-02
 7.3882256191037143e-01 -4.7651926614366569e-01  4.7651926614366574e-01  8.5557378355550547e-03
 7.3882256191037143e-01 -5.7735026918962573e-01  3.4757429231584736e-01  4.8397095900659624e-02
 7.3882256191037143e-01 -6.6302040365328807e-01  1.2060334303669361e-01  2.1350943773634428e-02
 8.0754040166114305e-01 -1.2060334303669359e-01  5.7735026918962584e-01  3.8512388022060196e-02
 8.0754040166114305e-01 -3.4757429231584724e-01  4.7651926614366574e-01  1.0767689461688721e-02
 8.0754040166114305e-01 -4.7651926614366569e-01  3.4757429231584730e-01  1.0767689461688721e-02
 8.0754040166114305e-01 -5.7735026918962573e-01  1.2060334303669384e-01  3.8512388022060196e-02
 8.7085258376046393e-01 -1.2060334303669359e-01  4.7651926614366580e-01  1.7551915729782732e-02
 8.7085258376046393e-01 -3.4757429231584724e-01  3.4757429231584747e-01  4.9955888858720127e-02
 8.7085258376046393e-01 -4.7651926614366569e-01  1.2060334303669419e-01  1.7551915729782732e-02
 9.2986393895532460e-01 -1.2060334303669359e-01  3.4757429231584713e-01  5.2282725077557490e-02
 9.2986393895532460e-01 -3.4757429231584724e-01  1.2060334303669326e-01  5.2282725077557490e-02
 9.8534748555864660e-01 -1.2060334303669359e-01  1.2060334303669362e-01  5.8152527878245583e-02
-1.2060334303669359e-01 -1.2060334303669359e-01  9.8534748555864660e-01  5.8152527878245583e-02
-1.2060334303669359e-01 -3.4757429231584724e-01  9.2986393895532460e-01  5.2282725077557490e-02
-1.2060334303669359e-01 -4.7651926614366569e-01  8.7085258376046393e-01  1.7551915729782732e-02
-1.2060334303669359e-01 -5.7735026918962573e-01  8.0754040166114305e-01  3.8512388022060196e-02
-1.2060334303669359e-01 -6.6302040365328807e-01  7.3882256191037143e-01  2.1350943773634428e-02
-1.2060334303669359e-01 -7.3882256191037143e-01  6.6302040365328807e-01  2.1350943773634428e-02
-1.2060334303669359e-01 -8.0754040166114305e-01  5.7735026918962584e-01  3.8512388022060196e-02
-1.2060334303669359e-01 -8.7085258376046393e-01  4.7651926614366580e-01  1.7551915729782732e-02
-1.2060334303669359e-01 -9.2986393895532460e-01  3.4757429231584713e-01  5.2282725077557490e-02
-1.2060334303669359e-01 -9.8534748555864660e-01  1.2060334303669361e-01  5.8152527878245583e-02
-3.4757429231584724e-01 -1.2060334303669359e-01  9.2986393895532460e-01  5.2282725077557490e-02
-3.4757429231584724e-01 -3.4757429231584724e-01  8.7085258376046393e-01  4.9955888858720127e-02
-3.4757429231584724e-01 -4.7651926614366569e-01  8.0754040166114305e-01  1.0767689461688721e-02
-3.4757429231584724e-01 -5.7735026918962573e-01  7.3882256191037143e-01  4.8397095900659624e-02
-3.4757429231584724e-01 -6.6302040365328807e-01  6.6302040365328796e-01 -2.1910208032631609e-04
-3.4757429231584724e-01 -7.3882256191037143e-01  5.7735026918962584e-01  4.8397095900659624e-02
-3.4757429231584724e-01 -8.0754040166114305e-01  4.7651926614366569e-01  1.0767689461688721e-02
-3.4757429231584724e-01 -8.7085258376046393e-01  3.4757429231584741e-01  4.9955888858720127e-02
-3.4757429231584724e-01 -9.2986393895532460e-01  1.2060334303669315e-01  5.2282725077557490e-02
-4.7651926614366569e-01 -1.2060334303669359e-01  8.7085258376046393e-01  1.7551915729782732e-02
-4.7651926614366569e-01 -3.4757429231584724e-01  8.0754040166114305e-01  1.0767689461688721e-02
-4.7651926614366569e-01 -4.7651926614366569e-01  7.3882256191037143e-01  8.5557378355550547e-03
-4.7651926614366569e-01 -5.7735026918962573e-01  6.6302040365328796e-01  7.4544447602919953e-03
-4.7651926614366569e-01 -6.6302040365328807e-01  5.7735026918962573e-01  7.4544447602919953e-03
-4.7651926614366569e-01 -7.3882256191037143e-01  4.7651926614366569e-01  8.5557378355550547e-03
-4.7651926614366569e-01 -8.0754040166114305e-01  3.4757429231584730e-01  1.0767689461688721e-02
-4.7651926614366569e-01 -8.7085258376046393e-01  1.2060334303669407e-01  1.7551915729782732e-02
-5.7735026918962573e-01 -1.2060334303669359e-01  8.0754040166114316e-01  3.8512388022060196e-02
-5.7735026918962573e-01 -3.4757429231584724e-01  7.3882256191037143e-01  4.8397095900659624e-02
-5.7735026918962573e-01 -4.7651926614366569e-01  6.6302040365328807e-01  7.4544447602919953e-03
-5.7735026918962573e-01 -5.7735026918962573e-01  5.7735026918962584e-01  4.3557952964262181e-02
-5.7735026918962573e-01 -6.6302040365328807e-01  4.7651926614366569e-01  7.4544447602919953e-03
-5.7735026918962573e-01 -7.3882256191037143e-01  3.4757429231584741e-01  4.8397095900659624e-02
-5.7735026918962573e-01 -8.0754040166114305e-01  1.2060334303669407e-01  3.8512388022060196e-02
-6.6302040365328807e-01 -1.2060334303669359e-01  7.3882256191037143e-01  2.1350943773634428e-02
-6.6302040365328807e-01 -3.4757429231584724e-01  6.6302040365328796e-01 -2.1910208032631609e-04
-6.6302040365328807e-01 -4.7651926614366569e-01  5.7735026918962573e-01  7.4544447602919953e-03
-6.6302040365328807e-01 -5.7735026918962573e-01  4.7651926614366563e-01  7.4544447602919953e-03
-6.6302040365328807e-01 -6.6302040365328807e-01  3.4757429231584713e-01 -2.1910208032631609e-04
-6.6302040365328807e-01 -7.3882256191037143e-01  1.2060334303669361e-01  2.1350943773634428e-02
-7.3882256191037143e-01 -1.2060334303669359e-01  6.6302040365328807e-01  2.1350943773634428e-02
-7.3882256191037143e-01 -3.4757429231584724e-01  5.7735026918962584e-01  4.8397095900659624e-02
-7.3882256191037143e-01 -4.7651926614366569e-01  4.7651926614366574e-01  8.5557378355550547e-03
-7.3882256191037143e-01 -5.7735026918962573e-01  3.4757429231584736e-01  4.8397095900659624e-02
-7.3882256191037143e-01 -6.6302040365328807e-01  1.2060334303669361e-01  2.1350943773634428e-02
-8.0754040166114305e-01 -1.2060334303669359e-01  5.7735026918962584e-01  3.8512388022060196e-02
-8.0754040166114305e-01 -3.4757429231584724e-01  4.7651926614366574e-01  1.0767689461688721e-02
-8.0754040166114305e-01 -4.7651926614366569e-01  3.4757429231584730e-01  1.0767689461688721e-02
-8.0754040166114305e-01 -5.7735026918962573e-01  1.2060334303669384e-01  3.8512388022060196e-02
-8.7085258376046393e-01 -1.2060334303669359e-01  4.7651926614366580e-01  1.7551915729782732e-02
-8.7085258376046393e-01 -3.4757429231584724e-01  3.4757429231584747e-01  4.9955888858720127e-02
-8.7085258376046393e-01 -4.7651926614366569e-01  1.2060334303669419e-01  1.7551915729782732e-02
-9.2986393895532460e-01 -1.2060334303669359e-01  3.4757429231584713e-01  5.2282725077557490e-02
-9.2986393895532460e-01 -3.4757429231584724e-01  1.2060334303669326e-01  5.2282725077557490e-02
-9.8534748555864660e-01 -1.2060334303669359e-01  1.2060334303669362e-01  5.8152527878245583e-02
 1.2060334303669359e-01  1.2060334303669359e-01 -9.8534748555864660e-01  5.8152527878245583e-02
 1.2060334303669359e-01  3.4757429231584724e-01 -9.2986393895532460e-01  5.2282725077557490e-02
 1.2060334303669359e-01  4.7651926614366569e-01 -8.7085258376046393e-01  1.7551915729782732e-02
 1.2060334303669359e-01  5.7735026918962573e-01 -8.0754040166114305e-01  3.8512388022060196e-02
 1.2060334303669359e-01  6.6302040365328807e-01 -7.3882256191037143e-01  2.1350943773634428e-02
 1.2060334303669359e-01  7.3882256191037143e-01 -6.6302040365328807e-01  2.1350943773634428e-02
 1.2060334303669359e-01  8.0754040166114305e-01 -5.7735026918962584e-01  3.8512388022060196e-02
 1.2060334303669359e-01  8.7085258376046393e-01 -4.7651926614366580e-01  1.7551915729782732e-02
 1.2060334303669359e-01  9.2986393895532460e-01 -3.4757429231584713e-01  5.2282725077557490e-02
 1.2060334303669359e-01  9.8534748555864660e-01 -1.2060334303669361e-01  5.8152527878245583e-02
 3.4757429231584724e-01  1.2060334303669359e-01 -9.2986393895532460e-01  5.2282725077557490e-02
 3.4757429231584724e-01  3.4757429231584724e-01 -8.7085258376046393e-01  4.9955888858720127e-02
 3.4757429231584724e-01  4.7651926614366569e-01 -8.0754040166114305e-01  1.0767689461688721e-02
 3.4757429231584724e-01  5.7735026918962573e-01 -7.3882256191037143e-01  4.8397095900659624e-02
 3.4757429231584724e-01  6.6302040365328807e-01 -6.6302040365328796e-01 -2.1910208032631609e-04
 3.4757429231584724e-01  7.3882256191037143e-01 -5.7735026918962584e-01  4.8397095900659624e-02
 3.4757429231584724e-01  8.0754040166114305e-01 -4.7651926614366569e-01  1.0767689461688721e-02
 3.4757429231584724e-01  8.7085258376046393e-01 -3.4757429231584741e-01  4.9955888858720127e-02
 3.4757429231584724e-01  9.2986393895532460e-01 -1.2060334303669315e-01  5.2282725077557490e-02
 4.7651926614366569e-01  1.2060334303669359e-01 -8.7085258376046393e-01  1.7551915729782732e-02
 4.7651926614366569e-01  3.4757429231584724e-01 -8.0754040166114305e-01  1.0767689461688721e-02
 4.7651926614366569e-01  4.7651926614366569e-01 -7.3882256191037143e-01  8.5557378355550547e-03
 4.7651926614366569e-01  5.7735026918962573e-01 -6.6302040365328796e-01  7.4544447602919953e-03
 4.7651926614366569e-01  6.6302040365328807e-01 -5.7735026918962573e-01  7.4544447602919953e-03
 4.7651926614366569e-01  7.3882256191037143e-01 -4.7651926614366569e-01  8.5557378355550547e-03
 4.7651926614366569e-01  8.0754040166114305e-01 -3.4757429231584730e-01  1.0767689461688721e-02
 4.7651926614366569e-01  8.7085258376046393e-01 -1.2060334303669407e-01  1.7551915729782732e-02
 5.7735026918962573e-01  1.2060334303669359e-01 -8.0754040166114316e-01  3.8512388022060196e-02
 5.7735026918962573e-01  3.4757429231584724e-01 -7.3882256191037143e-01  4.8397095900659624e-02
 5.7735026918962573e-01  4.7651926614366569e-01 -6.6302040365328807e-01  7.4544447602919953e-03
 5.7735026918962573e-01  5.7735026918962573e-01 -5.7735026918962584e-01  4.3557952964262181e-02
 5.7735026918962573e-01  6.6302040365328807e-01 -4.7651926614366569e-01  7.4544447602919953e-03
 5.7735026918962573e-01  7.3882256191037143e-01 -3.4757429231584741e-01  4.8397095900659624e-02
 5.7735026918962573e-01  8.0754040166114305e-01 -1.2060334303669407e-01  3.8512388022060196e-02
 6.6302040365328807e-01  1.2060334303669359e-01 -7.3882256191037143e-01  2.1350943773634428e-02
 6.6302040365328807e-01  3.4757429231584724e-01 -6.6302040365328796e-01 -2.1910208032631609e-04
 6.6302040365328807e-01  4.7651926614366569e-01 -5.7735026918962573e-01  7.4544447602919953e-03
 6.6302040365328807e-01  5.7735026918962573e-01 -4.7651926614366563e-01  7.4544447602919953e-03
 6.6302040365328807e-01  6.6302040365328807e-01 -3.4757429231584713e-01 -2.1910208032631609e-04
 6.6302040365328807e-01  7.3882256191037143e-01 -1.2060334303669361e-01  2.1350943773634428e-02
 7.3882256191037143e-01  1.2060334303669359e-01 -6.6302040365328807e-01  2.1350943773634428e-02
 7.3882256191037143e-01  3.4757429231584724e-01 -5.7735026918962584e-01  4.8397095900659624e-02
 7.3882256191037143e-01  4.7651926614366569e-01 -4.7651926614366574e-01  8.5557378355550547e-03
 7.3882256191037143e-01  5.7735026918962573e-01 -3.4757429231584736e-01  4.8397095900659624e-02
 7.3882256191037143e-01  6.6302040365328807e-01 -1.2060334303669361e-01  2.1350943773634428e-02
 8.0754040166114305e-01  1.2060334303669359e-01 -5.7735026918962584e-01  3.8512388022060196e-02
 8.0754040166114305e-01  3.4757429231584724e-01 -4.7651926614366574e-01  1.0767689461688721e-02
 8.0754040166114305e-01  4.7651926614366569e-01 -3.4757429231584730e-01  1.0767689461688721e-02
 8.0754040166114305e-01  5.7735026918962573e-01 -1.2060334303669384e-01  3.8512388022060196e-02
 8.7085258376046393e-01  1.2060334303669359e-01 -4.7651926614366580e-01  1.7551915729782732e-02
 8.7085258376046393e-01  3.4757429231584724e-01 -3.4757429231584747e-01  4.9955888858720127e-02
 8.7085258376046393e-01  4.7651926614366569e-01 -1.2060334303669419e-01  1.7551915729782732e-02
 9.2986393895532460e-01  1.2060334303669359e-01 -3.4757429231584713e-01  5.2282725077557490e-02
 9.2986393895532460e-01  3.4757429231584724e-01 -1.2060334303669326e-01  5.2282725077557490e-02
 9.8534748555864660e-01  1.2060334303669359e-01 -1.2060334303669362e-01  5.8152527878245583e-02
-1.2060334303669359e-01  1.2060334303669359e-01 -9.8534748555864660e-01  5.8152527878245583e-02
-1.2060334303669359e-01  3.4757429231584724e-01 -9.2986393895532460e-01  5.2282725077557490e-02
-1.2060334303669359e-01  4.7651926614366569e-01 -8.7085258376046393e-01  1.7551915729782732e-02
-1.2060334303669359e-01  5.7735026918962573e-01 -8.0754040166114305e-01  3.8512388022060196e-02
-1.2060334303669359e-01  6.6302040365328807e-01 -7.3882256191037143e-01  2.1350943773634428e-02
-1.2060334303669359e-01  7.3882256191037143e-01 -6.6302040365328807e-01  2.1350943773634428e-02
