Total Directions = 168
-1.6721265282271328e-01 -1.6721265282271328e-01 -9.7163771925135833e-01  1.1115361639951241e-01
-1.6721265282271328e-01 -4.5954763464259468e-01 -8.7227054302572149e-01  8.7777829075379885e-02
-1.6721265282271328e-01 -6.2801909664213085e-01 -7.6002101483366402e-01  5.8649880791434142e-02
-1.6721265282271328e-01 -7.6002101483366402e-01 -6.2801909664213096e-01  5.8649880791434142e-02
-1.6721265282271328e-01 -8.7227054302572149e-01 -4.5954763464259468e-01  8.7777829075379885e-02
-1.6721265282271328e-01 -9.7163771925135833e-01 -1.6721265282271358e-01  1.1115361639951241e-01
-4.5954763464259468e-01 -1.6721265282271328e-01 -8.7227054302572149e-01  8.7777829075379885e-02
-4.5954763464259468e-01 -4.5954763464259468e-01 -7.6002101483366402e-01  7.8982625489402131e-02
-4.5954763464259468e-01 -6.2801909664213085e-01 -6.2801909664213096e-01  4.0607113975756275e-02
-4.5954763464259468e-01 -7.6002101483366402e-01 -4.5954763464259479e-01  7.8982625489402131e-02
-4.5954763464259468e-01 -8.7227054302572149e-01 -1.6721265282271325e-01  8.7777829075379885e-02
-6.2801909664213085e-01 -1.6721265282271328e-01 -7.6002101483366413e-01  5.8649880791434142e-02
-6.2801909664213085e-01 -4.5954763464259468e-01 -6.2801909664213096e-01  4.0607113975756275e-02
-6.2801909664213085e-01 -6.2801909664213085e-01 -4.5954763464259485e-01  4.0607113975756275e-02
-6.2801909664213085e-01 -7.6002101483366402e-01 -1.6721265282271391e-01  5.8649880791434142e-02
-7.6002101483366402e-01 -1.6721265282271328e-01 -6.2801909664213096e-01  5.8649880791434142e-02
-7.6002101483366402e-01 -4.5954763464259468e-01 -4.5954763464259479e-01  7.8982625489402131e-02
-7.6002101483366402e-01 -6.2801909664213085e-01 -1.6721265282271375e-01  5.8649880791434142e-02
-8.7227054302572149e-01 -1.6721265282271328e-01 -4.5954763464259468e-01  8.7777829075379885e-02
-8.7227054302572149e-01 -4.5954763464259468e-01 -1.6721265282271325e-01  8.7777829075379885e-02
-9.7163771925135833e-01 -1.6721265282271328e-01 -1.6721265282271355e-01  1.1115361639951241e-01
