Total Directions = 528
 6.3040136062098062e-01  5.4890533087556015e-01  5.4890533087556026e-01  2.1215372943278306e-02
 6.3040136062098062e-01  6.3040136062098062e-01  4.5297709550752424e-01 -1.5986657300517258e-02
 6.3040136062098062e-01  7.0250600615365499e-01  3.3027176059308683e-01  1.8413546132096104e-02
 6.3040136062098062e-01  7.6786945628220860e-01  1.1388864138307091e-01 -1.0514129990837178e-02
 7.0250600615365499e-01  1.1388864138307084e-01  7.0250600615365499e-01  5.7865249977655513e-02
 7.0250600615365499e-01  3.3027176059308672e-01  6.3040136062098062e-01  1.8413546132096104e-02
 7.0250600615365499e-01  4.5297709550752419e-01  5.4890533087556015e-01  2.4538161059283865e-02
 7.0250600615365499e-01  5.4890533087556015e-01  4.5297709550752424e-01  2.4538161059283865e-02
 7.0250600615365499e-01  6.3040136062098062e-01  3.3027176059308672e-01  1.8413546132096104e-02
 7.0250600615365499e-01  7.0250600615365499e-01  1.1388864138307091e-01  5.7865249977655513e-02
 7.6786945628220860e-01  1.1388864138307084e-01  6.3040136062098062e-01 -1.0514129990837178e-02
 7.6786945628220860e-01  3.3027176059308672e-01  5.4890533087556015e-01  3.0658970397663479e-02
 7.6786945628220860e-01  4.5297709550752419e-01  4.5297709550752413e-01 -6.9550644584478599e-03
 7.6786945628220860e-01  5.4890533087556015e-01  3.3027176059308672e-01  3.0658970397663479e-02
 7.6786945628220860e-01  6.3040136062098062e-01  1.1388864138307066e-01 -1.0514129990837178e-02
 8.2808955741532575e-01  1.1388864138307084e-01  5.4890533087556015e-01  4.9768254479694976e-02
 8.2808955741532575e-01  3.3027176059308672e-01  4.5297709550752424e-01  1.5859186411938054e-02
 8.2808955741532575e-01  4.5297709550752419e-01  3.3027176059308677e-01  1.5859186411938054e-02
 8.2808955741532575e-01  5.4890533087556015e-01  1.1388864138307114e-01  4.9768254479694976e-02
 8.8421780592198296e-01  1.1388864138307084e-01  4.5297709550752430e-01  9.0651591149045353e-03
 8.8421780592198296e-01  3.3027176059308672e-01  3.3027176059308694e-01  4.2904683433068101e-02
 8.8421780592198296e-01  4.5297709550752419e-01  1.1388864138307127e-01  9.0651591149045353e-03
 9.3698982999745573e-01  1.1388864138307084e-01  3.3027176059308683e-01  4.8627036356999546e-02
 9.3698982999745573e-01  3.3027176059308672e-01  1.1388864138307121e-01  4.8627036356999546e-02
 9.8694414975105682e-01  1.1388864138307084e-01  1.1388864138307145e-01  5.1722823079775292e-02
-1.1388864138307084e-01  1.1388864138307084e-01  9.8694414975105682e-01  5.1722823079775292e-02
-1.1388864138307084e-01  3.3027176059308672e-01  9.3698982999745584e-01  4.8627036356999546e-02
-1.1388864138307084e-01  4.5297709550752419e-01  8.8421780592198296e-01  9.0651591149045353e-03
-1.1388864138307084e-01  5.4890533087556015e-01  8.2808955741532575e-01  4.9768254479694976e-02
-1.1388864138307084e-01  6.3040136062098062e-01  7.6786945628220860e-01 -1.0514129990837178e-02
-1.1388864138307084e-01  7.0250600615365499e-01  7.0250600615365499e-01  5.7865249977655513e-02
-1.1388864138307084e-01  7.6786945628220860e-01  6.3040136062098062e-01 -1.0514129990837178e-02
-1.1388864138307084e-01  8.2808955741532575e-01  5.4890533087556015e-01  4.9768254479694976e-02
-1.1388864138307084e-01  8.8421780592198296e-01  4.5297709550752430e-01  9.0651591149045353e-03
-1.1388864138307084e-01  9.3698982999745573e-01  3.3027176059308683e-01  4.8627036356999546e-02
-1.1388864138307084e-01  9.8694414975105682e-01  1.1388864138307139e-01  5.1722823079775292e-02
-3.3027176059308672e-01  1.1388864138307084e-01  9.3698982999745584e-01  4.8627036356999546e-02
-3.3027176059308672e-01  3.3027176059308672e-01  8.8421780592198307e-01  4.2904683433068101e-02
-3.3027176059308672e-01  4.5297709550752419e-01  8.2808955741532586e-01  1.5859186411938054e-02
-3.3027176059308672e-01  5.4890533087556015e-01  7.6786945628220860e-01  3.0658970397663479e-02
-3.3027176059308672e-01  6.3040136062098062e-01  7.0250600615365499e-01  1.8413546132096104e-02
-3.3027176059308672e-01  7.0250600615365499e-01  6.3040136062098062e-01  1.8413546132096104e-02
-3.3027176059308672e-01  7.6786945628220860e-01  5.4890533087556015e-01  3.0658970397663479e-02
-3.3027176059308672e-01  8.2808955741532575e-01  4.5297709550752430e-01  1.5859186411938054e-02
-3.3027176059308672e-01  8.8421780592198296e-01  3.3027176059308699e-01  4.2904683433068101e-02
-3.3027176059308672e-01  9.3698982999745573e-01  1.1388864138307139e-01  4.8627036356999546e-02
-4.5297709550752419e-01  1.1388864138307084e-01  8.8421780592198296e-01  9.0651591149045353e-03
-4.5297709550752419e-01  3.3027176059308672e-01  8.2808955741532586e-01  1.5859186411938054e-02
-4.5297709550752419e-01  4.5297709550752419e-01  7.6786945628220860e-01 -6.9550644584478599e-03
-4.5297709550752419e-01  5.4890533087556015e-01  7.0250600615365499e-01  2.4538161059283865e-02
-4.5297709550752419e-01  6.3040136062098062e-01  6.3040136062098062e-01 -1.5986657300517258e-02
-4.5297709550752419e-01  7.0250600615365499e-01  5.4890533087556015e-01  2.4538161059283865e-02
-4.5297709550752419e-01  7.6786945628220860e-01  4.5297709550752419e-01 -6.9550644584478599e-03
-4.5297709550752419e-01  8.2808955741532575e-01  3.3027176059308683e-01  1.5859186411938054e-02
-4.5297709550752419e-01  8.8421780592198296e-01  1.1388864138307139e-01  9.0651591149045353e-03
-5.4890533087556015e-01  1.1388864138307084e-01  8.2808955741532575e-01  4.9768254479694976e-02
-5.4890533087556015e-01  3.3027176059308672e-01  7.6786945628220860e-01  3.0658970397663479e-02
-5.4890533087556015e-01  4.5297709550752419e-01  7.0250600615365499e-01  2.4538161059283865e-02
-5.4890533087556015e-01  5.4890533087556015e-01  6.3040136062098062e-01  2.1215372943278306e-02
-5.4890533087556015e-01  6.3040136062098062e-01  5.4890533087556015e-01  2.1215372943278306e-02
-5.4890533087556015e-01  7.0250600615365499e-01  4.5297709550752419e-01  2.4538161059283865e-02
-5.4890533087556015e-01  7.6786945628220860e-01  3.3027176059308666e-01  3.0658970397663479e-02
-5.4890533087556015e-01  8.2808955741532575e-01  1.1388864138307091e-01  4.9768254479694976e-02
-6.3040136062098062e-01  1.1388864138307084e-01  7.6786945628220860e-01 -1.0514129990837178e-02
-6.3040136062098062e-01  3.3027176059308672e-01  7.0250600615365499e-01  1.8413546132096104e-02
-6.3040136062098062e-01  4.5297709550752419e-01  6.3040136062098062e-01 -1.5986657300517258e-02
-6.3040136062098062e-01  5.4890533087556015e-01  5.4890533087556026e-01  2.1215372943278306e-02
-6.3040136062098062e-01  6.3040136062098062e-01  4.5297709550752424e-01 -1.5986657300517258e-02
-6.3040136062098062e-01  7.0250600615365499e-01  3.3027176059308683e-01  1.8413546132096104e-02
-6.3040136062098062e-01  7.6786945628220860e-01  1.1388864138307091e-01 -1.0514129990837178e-02
-7.0250600615365499e-01  1.1388864138307084e-01  7.0250600615365499e-01  5.7865249977655513e-02
-7.0250600615365499e-01  3.3027176059308672e-01  6.3040136062098062e-01  1.8413546132096104e-02
-7.0250600615365499e-01  4.5297709550752419e-01  5.4890533087556015e-01  2.4538161059283865e-02
-7.0250600615365499e-01  5.4890533087556015e-01  4.5297709550752424e-01  2.4538161059283865e-02
-7.0250600615365499e-01  6.3040136062098062e-01  3.3027176059308672e-01  1.8413546132096104e-02
-7.0250600615365499e-01  7.0250600615365499e-01  1.1388864138307091e-01  5.7865249977655513e-02
-7.6786945628220860e-01  1.1388864138307084e-01  6.3040136062098062e-01 -1.0514129990837178e-02
-7.6786945628220860e-01  3.3027176059308672e-01  5.4890533087556015e-01  3.0658970397663479e-02
-7.6786945628220860e-01  4.5297709550752419e-01  4.5297709550752413e-01 -6.9550644584478599e-03
-7.6786945628220860e-01  5.4890533087556015e-01  3.3027176059308672e-01  3.0658970397663479e-02
-7.6786945628220860e-01  6.3040136062098062e-01  1.1388864138307066e-01 -1.0514129990837178e-02
-8.2808955741532575e-01  1.1388864138307084e-01  5.4890533087556015e-01  4.9768254479694976e-02
-8.2808955741532575e-01  3.3027176059308672e-01  4.5297709550752424e-01  1.5859186411938054e-02
-8.2808955741532575e-01  4.5297709550752419e-01  3.3027176059308677e-01  1.5859186411938054e-02
-8.2808955741532575e-01  5.4890533087556015e-01  1.1388864138307114e-01  4.9768254479694976e-02
-8.8421780592198296e-01  1.1388864138307084e-01  4.5297709550752430e-01  9.0651591149045353e-03
-8.8421780592198296e-01  3.3027176059308672e-01  3.3027176059308694e-01  4.2904683433068101e-02
-8.8421780592198296e-01  4.5297709550752419e-01  1.1388864138307127e-01  9.0651591149045353e-03
-9.3698982999745573e-01  1.1388864138307084e-01  3.3027176059308683e-01  4.8627036356999546e-02
-9.3698982999745573e-01  3.3027176059308672e-01  1.1388864138307121e-01  4.8627036356999546e-02
-9.8694414975105682e-01  1.1388864138307084e-01  1.1388864138307145e-01  5.1722823079775292e-02
 1.1388864138307084e-01 -1.1388864138307084e-01  9.8694414975105682e-01  5.1722823079775292e-02
 1.1388864138307084e-01 -3.3027176059308672e-01  9.3698982999745584e-01  4.8627036356999546e-02
 1.1388864138307084e-01 -4.5297709550752419e-01  8.8421780592198296e-01  9.0651591149045353e-03
 1.1388864138307084e-01 -5.4890533087556015e-01  8.2808955741532575e-01  4.9768254479694976e-02
 1.1388864138307084e-01 -6.3040136062098062e-01  7.6786945628220860e-01 -1.0514129990837178e-02
 1.1388864138307084e-01 -7.0250600615365499e-01  7.0250600615365499e-01  5.7865249977655513e-02
 1.1388864138307084e-01 -7.6786945628220860e-01  6.3040136062098062e-01 -1.0514129990837178e-02
 1.1388864138307084e-01 -8.2808955741532575e-01  5.4890533087556015e-01  4.9768254479694976e-02
 1.1388864138307084e-01 -8.8421780592198296e-01  4.5297709550752430e-01  9.0651591149045353e-03
 1.1388864138307084e-01 -9.3698982999745573e-01  3.3027176059308683e-01  4.8627036356999546e-02
 1.1388864138307084e-01 -9.8694414975105682e-01  1.1388864138307139e-01  5.1722823079775292e-02
 3.3027176059308672e-01 -1.1388864138307084e-01  9.3698982999745584e-01  4.8627036356999546e-02
 3.3027176059308672e-01 -3.3027176059308672e-01  8.8421780592198307e-01  4.2904683433068101e-02
 3.3027176059308672e-01 -4.5297709550752419e-01  8.2808955741532586e-01  1.5859186411938054e-02
 3.3027176059308672e-01 -5.4890533087556015e-01  7.6786945628220860e-01  3.0658970397663479e-02
 3.3027176059308672e-01 -6.3040136062098062e-01  7.0250600615365499e-01  1.8413546132096104e-02
 3.3027176059308672e-01 -7.0250600615365499e-01  6.3040136062098062e-01  1.8413546132096104e-02
 3.3027176059308672e-01 -7.6786945628220860e-01  5.4890533087556015e-01  3.0658970397663479e-02
 3.3027176059308672e-01 -8.2808955741532575e-01  4.5297709550752430e-01  1.5859186411938054e-02
 3.3027176059308672e-01 -8.8421780592198296e-01  3.3027176059308699e-01  4.2904683433068101e-02
 3.3027176059308672e-01 -9.3698982999745573e-01  1.1388864138307139e-01  4.8627036356999546e-02
 4.5297709550752419e-01 -1.1388864138307084e-01  8.8421780592198296e-01  9.0651591149045353e-03
 4.5297709550752419e-01 -3.3027176059308672e-01  8.2808955741532586e-01  1.5859186411938054e-02
 4.5297709550752419e-01 -4.5297709550752419e-01  7.6786945628220860e-01 -6.9550644584478599e-03
 4.5297709550752419e-01 -5.4890533087556015e-01  7.0250600615365499e-01  2.4538161059283865e-02
 4.5297709550752419e-01 -6.3040136062098062e-01  6.3040136062098062e-01 -1.5986657300517258e-02
 4.5297709550752419e-01 -7.0250600615365499e-01  5.4890533087556015e-01  2.4538161059283865e-02
 4.5297709550752419e-01 -7.6786945628220860e-01  4.5297709550752419e-01 -6.9550644584478599e-03
 4.5297709550752419e-01 -8.2808955741532575e-01  3.3027176059308683e-01  1.5859186411938054e-02
 4.5297709550752419e-01 -8.8421780592198296e-01  1.1388864138307139e-01  9.0651591149045353e-03
 5.4890533087556015e-01 -1.1388864138307084e-01  8.2808955741532575e-01  4.9768254479694976e-02
 5.4890533087556015e-01 -3.3027176059308672e-01  7.6786945628220860e-01  3.0658970397663479e-02
 5.4890533087556015e-01 -4.5297709550752419e-01  7.0250600615365499e-01  2.4538161059283865e-02
 5.4890533087556015e-01 -5.4890533087556015e-01  6.3040136062098062e-01  2.1215372943278306e-02
 5.4890533087556015e-01 -6.3040136062098062e-01  5.4890533087556015e-01  2.1215372943278306e-02
 5.4890533087556015e-01 -7.0250600615365499e-01  4.5297709550752419e-01  2.4538161059283865e-02
 5.4890533087556015e-01 -7.6786945628220860e-01  3.3027176059308666e-01  3.0658970397663479e-02
 5.4890533087556015e-01 -8.2808955741532575e-01  1.1388864138307091e-01  4.9768254479694976e-02
 6.3040136062098062e-01 -1.1388864138307084e-01  7.6786945628220860e-01 -1.0514129990837178e-02
 6.3040136062098062e-01 -3.3027176059308672e-01  7.0250600615365499e-01  1.8413546132096104e-02
 6.3040136062098062e-01 -4.5297709550752419e-01  6.3040136062098062e-01 -1.5986657300517258e-02
 6.3040136062098062e-01 -5.4890533087556015e-01  5.4890533087556026e-01  2.1215372943278306e-02
 6.3040136062098062e-01 -6.3040136062098062e-01  4.5297709550752424e-01 -1.5986657300517258e-02
 6.3040136062098062e-01 -7.0250600615365499e-01  3.3027176059308683e-01  1.8413546132096104e-02
 6.3040136062098062e-01 -7.6786945628220860e-01  1.1388864138307091e-01 -1.0514129990837178e-02
 7.0250600615365499e-01 -1.1388864138307084e-01  7.0250600615365499e-01  5.7865249977655513e-02
 7.0250600615365499e-01 -3.3027176059308672e-01  6.3040136062098062e-01  1.8413546132096104e-02
 7.0250600615365499e-01 -4.5297709550752419e-01  5.4890533087556015e-01  2.4538161059283865e-02
 7.0250600615365499e-01 -5.4890533087556015e-01  4.5297709550752424e-01  2.4538161059283865e-02
 7.0250600615365499e-01 -6.3040136062098062e-01  3.3027176059308672e-01  1.8413546132096104e-02
 7.0250600615365499e-01 -7.0250600615365499e-01  1.1388864138307091e-01  5.7865249977655513e-02
 7.6786945628220860e-01 -1.1388864138307084e-01  6.3040136062098062e-01 -1.0514129990837178e-02
 7.6786945628220860e-01 -3.3027176059308672e-01  5.4890533087556015e-01  3.0658970397663479e-02
 7.6786945628220860e-01 -4.5297709550752419e-01  4.5297709550752413e-01 -6.9550644584478599e-03
 7.6786945628220860e-01 -5.4890533087556015e-01  3.3027176059308672e-01  3.0658970397663479e-02
 7.6786945628220860e-01 -6.3040136062098062e-01  1.1388864138307066e-01 -1.0514129990837178e-02
 8.2808955741532575e-01 -1.1388864138307084e-01  5.4890533087556015e-01  4.9768254479694976e-02
 8.2808955741532575e-01 -3.3027176059308672e-01  4.5297709550752424e-01  1.5859186411938054e-02
 8.2808955741532575e-01 -4.5297709550752419e-01  3.3027176059308677e-01  1.5859186411938054e-02
 8.2808955741532575e-01 -5.4890533087556015e-01  1.1388864138307114e-01  4.9768254479694976e-02
 8.8421780592198296e-01 -1.1388864138307084e-01  4.5297709550752430e-01  9.0651591149045353e-03
 8.8421780592198296e-01 -3.3027176059308672e-01  3.3027176059308694e-01  4.2904683433068101e-02
 8.8421780592198296e-01 -4.5297709550752419e-01  1.1388864138307127e-01  9.0651591149045353e-03
 9.3698982999745573e-01 -1.1388864138307084e-01  3.3027176059308683e-01  4.8627036356999546e-02
 9.3698982999745573e-01 -3.3027176059308672e-01  1.1388864138307121e-01  4.8627036356999546e-02
 9.8694414975105682e-01 -1.1388864138307084e-01  1.1388864138307145e-01  5.1722823079775292e-02
-1.1388864138307084e-01 -1.1388864138307084e-01  9.8694414975105682e-01  5.1722823079775292e-02
-1.1388864138307084e-01 -3.3027176059308672e-01  9.3698982999745584e-01  4.8627036356999546e-02
-1.1388864138307084e-01 -4.5297709550752419e-01  8.8421780592198296e-01  9.0651591149045353e-03
-1.1388864138307084e-01 -5.4890533087556015e-01  8.2808955741532575e-01  4.9768254479694976e-02
-1.1388864138307084e-01 -6.3040136062098062e-01  7.6786945628220860e-01 -1.0514129990837178e-02
-1.1388864138307084e-01 -7.0250600615365499e-01  7.0250600615365499e-01  5.7865249977655513e-02
-1.1388864138307084e-01 -7.6786945628220860e-01  6.3040136062098062e-01 -1.0514129990837178e-02
-1.1388864138307084e-01 -8.2808955741532575e-01  5.4890533087556015e-01  4.9768254479694976e-02
-1.1388864138307084e-01 -8.8421780592198296e-01  4.5297709550752430e-01  9.0651591149045353e-03
-1.1388864138307084e-01 -9.3698982999745573e-01  3.3027176059308683e-01  4.8627036356999546e-02
-1.1388864138307084e-01 -9.8694414975105682e-01  1.1388864138307139e-01  5.1722823079775292e-02
-3.3027176059308672e-01 -1.1388864138307084e-01  9.3698982999745584e-01  4.8627036356999546e-02
-3.3027176059308672e-01 -3.3027176059308672e-01  8.8421780592198307e-01  4.2904683433068101e-02
-3.3027176059308672e-01 -4.5297709550752419e-01  8.2808955741532586e-01  1.5859186411938054e-02
-3.3027176059308672e-01 -5.4890533087556015e-01  7.6786945628220860e-01  3.0658970397663479e-02
-3.3027176059308672e-01 -6.3040136062098062e-01  7.0250600615365499e-01  1.8413546132096104e-02
-3.3027176059308672e-01 -7.0250600615365499e-01  6.3040136062098062e-01  1.8413546132096104e-02
-3.3027176059308672e-01 -7.6786945628220860e-01  5.4890533087556015e-01  3.0658970397663479e-02
-3.3027176059308672e-01 -8.2808955741532575e-01  4.5297709550752430e-01  1.5859186411938054e-02
-3.3027176059308672e-01 -8.8421780592198296e-01  3.3027176059308699e-01  4.2904683433068101e-02
-3.3027176059308672e-01 -9.3698982999745573e-01  1.1388864138307139e-01  4.8627036356999546e-02
-4.5297709550752419e-01 -1.1388864138307084e-01  8.8421780592198296e-01  9.0651591149045353e-03
-4.5297709550752419e-01 -3.3027176059308672e-01  8.2808955741532586e-01  1.5859186411938054e-02
-4.5297709550752419e-01 -4.5297709550752419e-01  7.6786945628220860e-01 -6.9550644584478599e-03
-4.5297709550752419e-01 -5.4890533087556015e-01  7.0250600615365499e-01  2.4538161059283865e-02
-4.5297709550752419e-01 -6.3040136062098062e-01  6.3040136062098062e-01 -1.5986657300517258e-02
-4.5297709550752419e-01 -7.0250600615365499e-01  5.4890533087556015e-01  2.4538161059283865e-02
-4.5297709550752419e-01 -7.6786945628220860e-01  4.5297709550752419e-01 -6.9550644584478599e-03
-4.5297709550752419e-01 -8.2808955741532575e-01  3.3027176059308683e-01  1.5859186411938054e-02
-4.5297709550752419e-01 -8.8421780592198296e-01  1.1388864138307139e-01  9.0651591149045353e-03
-5.4890533087556015e-01 -1.1388864138307084e-01  8.2808955741532575e-01  4.9768254479694976e-02
-5.4890533087556015e-01 -3.3027176059308672e-01  7.6786945628220860e-01  3.0658970397663479e-02
-5.4890533087556015e-01 -4.5297709550752419e-01  7.0250600615365499e-01  2.4538161059283865e-02
-5.4890533087556015e-01 -5.4890533087556015e-01  6.3040136062098062e-01  2.1215372943278306e-02
-5.4890533087556015e-01 -6.3040136062098062e-01  5.4890533087556015e-01  2.1215372943278306e-02
-5.4890533087556015e-01 -7.0250600615365499e-01  4.5297709550752419e-01  2.4538161059283865e-02
-5.4890533087556015e-01 -7.6786945628220860e-01  3.3027176059308666e-01  3.0658970397663479e-02
-5.4890533087556015e-01 -8.2808955741532575e-01  1.1388864138307091e-01  4.9768254479694976e-02
-6.3040136062098062e-01 -1.1388864138307084e-01  7.6786945628220860e-01 -1.0514129990837178e-02
-6.3040136062098062e-01 -3.3027176059308672e-01  7.0250600615365499e-01  1.8413546132096104e-02
-6.3040136062098062e-01 -4.5297709550752419e-01  6.3040136062098062e-01 -1.5986657300517258e-02
-6.3040136062098062e-01 -5.4890533087556015e-01  5.4890533087556026e-01  2.1215372943278306e-02
-6.3040136062098062e-01 -6.3040136062098062e-01  4.5297709550752424e-01 -1.5986657300517258e-02
-6.3040136062098062e-01 -7.0250600615365499e-01  3.3027176059308683e-01  1.8413546132096104e-02
-6.3040136062098062e-01 -7.6786945628220860e-01  1.1388864138307091e-01 -1.0514129990837178e-02
-7.0250600615365499e-01 -1.1388864138307084e-01  7.0250600615365499e-01  5.7865249977655513e-02
-7.0250600615365499e-01 -3.3027176059308672e-01  6.3040136062098062e-01  1.8413546132096104e-02
-7.0250600615365499e-01 -4.5297709550752419e-01  5.4890533087556015e-01  2.4538161059283865e-02
-7.0250600615365499e-01 -5.4890533087556015e-01  4.5297709550752424e-01  2.4538161059283865e-02
-7.0250600615365499e-01 -6.3040136062098062e-01  3.3027176059308672e-01  1.8413546132096104e-02
-7.0250600615365499e-01 -7.0250600615365499e-01  1.1388864138307091e-01  5.7865249977655513e-02
-7.6786945628220860e-01 -1.1388864138307084e-01  6.3040136062098062e-01 -1.0514129990837178e-02
-7.6786945628220860e-01 -3.3027176059308672e-01  5.4890533087556015e-01  3.0658970397663479e-02
-7.6786945628220860e-01 -4.5297709550752419e-01  4.5297709550752413e-01 -6.9550644584478599e-03
-7.6786945628220860e-01 -5.4890533087556015e-01  3.3027176059308672e-01  3.0658970397663479e-02
-7.6786945628220860e-01 -6.3040136062098062e-01  1.1388864138307066e-01 -1.0514129990837178e-02
-8.2808955741532575e-01 -1.1388864138307084e-01  5.4890533087556015e-01  4.9768254479694976e-02
-8.2808955741532575e-01 -3.3027176059308672e-01  4.5297709550752424e-01  1.5859186411938054e-02
-8.2808955741532575e-01 -4.5297709550752419e-01  3.3027176059308677e-01  1.5859186411938054e-02
-8.2808955741532575e-01 -5.4890533087556015e-01  1.1388864138307114e-01  4.9768254479694976e-02
-8.8421780592198296e-01 -1.1388864138307084e-01  4.5297709550752430e-01  9.0651591149045353e-03
-8.8421780592198296e-01 -3.3027176059308672e-01  3.3027176059308694e-01  4.2904683433068101e-02
-8.8421780592198296e-01 -4.5297709550752419e-01  1.1388864138307127e-01  9.0651591149045353e-03
-9.3698982999745573e-01 -1.1388864138307084e-01  3.3027176059308683e-01  4.8627036356999546e-02
-9.3698982999745573e-01 -3.3027176059308672e-01  1.1388864138307121e-01  4.8627036356999546e-02
-9.8694414975105682e-01 -1.1388864138307084e-01  1.1388864138307145e-01  5.1722823079775292e-02
 1.1388864138307084e-01  1.1388864138307084e-01 -9.8694414975105682e-01  5.1722823079775292e-02
 1.1388864138307084e-01  3.3027176059308672e-01 -9.3698982999745584e-01  4.8627036356999546e-02
 1.1388864138307084e-01  4.5297709550752419e-01 -8.8421780592198296e-01  9.0651591149045353e-03
 1.1388864138307084e-01  5.4890533087556015e-01 -8.2808955741532575e-01  4.9768254479694976e-02
 1.1388864138307084e-01  6.3040136062098062e-01 -7.6786945628220860e-01 -1.0514129990837178e-02
 1.1388864138307084e-01  7.0250600615365499e-01 -7.0250600615365499e-01  5.7865249977655513e-02
 1.1388864138307084e-01  7.6786945628220860e-01 -6.3040136062098062e-01 -1.0514129990837178e-02
 1.1388864138307084e-01  8.2808955741532575e-01 -5.4890533087556015e-01  4.9768254479694976e-02
 1.1388864138307084e-01  8.8421780592198296e-01 -4.5297709550752430e-01  9.0651591149045353e-03
 1.1388864138307084e-01  9.3698982999745573e-01 -3.3027176059308683e-01  4.8627036356999546e-02
 1.1388864138307084e-01  9.8694414975105682e-01 -1.1388864138307139e-01  5.1722823079775292e-02
 3.3027176059308672e-01  1.1388864138307084e-01 -9.3698982999745584e-01  4.8627036356999546e-02
 3.3027176059308672e-01  3.3027176059308672e-01 -8.8421780592198307e-01  4.2904683433068101e-02
 3.3027176059308672e-01  4.5297709550752419e-01 -8.2808955741532586e-01  1.5859186411938054e-02
 3.3027176059308672e-01  5.4890533087556015e-01 -7.6786945628220860e-01  3.0658970397663479e-02
 3.3027176059308672e-01  6.3040136062098062e-01 -7.0250600615365499e-01  1.8413546132096104e-02
 3.3027176059308672e-01  7.0250600615365499e-01 -6.3040136062098062e-01  1.8413546132096104e-02
